Hash: 11320, Sign: 4588511, AesGcm: 11770
Hash: 2036, Sign: 1125954, AesGcm: 10983
Hash: 2023, Sign: 1099132, AesGcm: 11044
Hash: 1995, Sign: 1150535, AesGcm: 11177
Hash: 1738, Sign: 1094829, AesGcm: 10738
Hash: 3731, Sign: 1115416, AesGcm: 23549
Hash: 1967, Sign: 1107342, AesGcm: 11315
Hash: 1888, Sign: 1146608, AesGcm: 11301
Hash: 1817, Sign: 1123264, AesGcm: 10765
Hash: 1883, Sign: 1054777, AesGcm: 10004
Hash: 1819, Sign: 1131192, AesGcm: 10093
Hash: 1895, Sign: 1121092, AesGcm: 11173
Hash: 1738, Sign: 1152775, AesGcm: 11070
Hash: 1662, Sign: 1120983, AesGcm: 9977
Hash: 1809, Sign: 1090346, AesGcm: 13716
Hash: 1899, Sign: 1091197, AesGcm: 11621
Hash: 2428, Sign: 1384990, AesGcm: 11067
Hash: 1957, Sign: 1138448, AesGcm: 10984
Hash: 1860, Sign: 1096704, AesGcm: 10817
Hash: 2053, Sign: 1121881, AesGcm: 10477
Hash: 1895, Sign: 1149684, AesGcm: 10643
Hash: 2009, Sign: 1135791, AesGcm: 11051
Hash: 1956, Sign: 1159235, AesGcm: 10819
Hash: 1874, Sign: 1110468, AesGcm: 11171
Hash: 1779, Sign: 1068004, AesGcm: 11184
Hash: 1873, Sign: 1054930, AesGcm: 10914
Hash: 1805, Sign: 1094386, AesGcm: 9842
Hash: 1881, Sign: 1119570, AesGcm: 10629
Hash: 1822, Sign: 1055803, AesGcm: 9808
Hash: 1777, Sign: 1047151, AesGcm: 10703
Hash: 1884, Sign: 1195016, AesGcm: 10757
Hash: 1716, Sign: 1103008, AesGcm: 11180
Hash: 1946, Sign: 1152383, AesGcm: 11054
Hash: 13534, Sign: 1064652, AesGcm: 10860
Hash: 1711, Sign: 1109857, AesGcm: 10920
Hash: 1838, Sign: 1085818, AesGcm: 10692
Hash: 1909, Sign: 1107684, AesGcm: 10980
Hash: 1871, Sign: 1095619, AesGcm: 10807
Hash: 1991, Sign: 1139374, AesGcm: 11189
Hash: 1869, Sign: 1093833, AesGcm: 10830
Hash: 2003, Sign: 1106169, AesGcm: 11043
Hash: 1823, Sign: 1119600, AesGcm: 10559
Hash: 1886, Sign: 1106670, AesGcm: 10731
Hash: 1903, Sign: 1150518, AesGcm: 10786
Hash: 1911, Sign: 1098896, AesGcm: 10725
Hash: 2034, Sign: 1123839, AesGcm: 10599
Hash: 1837, Sign: 1091070, AesGcm: 10464
Hash: 1836, Sign: 1100672, AesGcm: 11139
Hash: 1833, Sign: 1086163, AesGcm: 11008
Hash: 1889, Sign: 1087380, AesGcm: 10766
Hash: 1817, Sign: 1104473, AesGcm: 10751
Hash: 1885, Sign: 1099524, AesGcm: 10812
Hash: 1934, Sign: 1113836, AesGcm: 10647
Hash: 1810, Sign: 1092669, AesGcm: 10780
Hash: 1770, Sign: 1099103, AesGcm: 10923
Hash: 1874, Sign: 1131989, AesGcm: 10701
Hash: 1805, Sign: 1101690, AesGcm: 11011
Hash: 2018, Sign: 1098813, AesGcm: 11691
Hash: 2107, Sign: 1115050, AesGcm: 11098
Hash: 1884, Sign: 1114228, AesGcm: 11204
Hash: 2023, Sign: 1118742, AesGcm: 22949
Hash: 1912, Sign: 1131804, AesGcm: 10923
Hash: 4197, Sign: 1109810, AesGcm: 10965
Hash: 1783, Sign: 1091584, AesGcm: 10770
Hash: 1866, Sign: 1093385, AesGcm: 10953
Hash: 1999, Sign: 1107632, AesGcm: 10869
Hash: 1891, Sign: 1093732, AesGcm: 10681
Hash: 1873, Sign: 1088263, AesGcm: 10801
Hash: 1945, Sign: 1164566, AesGcm: 10572
Hash: 1905, Sign: 1157858, AesGcm: 10810
Hash: 1924, Sign: 1102682, AesGcm: 10968
Hash: 1945, Sign: 1088810, AesGcm: 10951
Hash: 1907, Sign: 1126676, AesGcm: 10865
Hash: 4702956, Sign: 1102739, AesGcm: 11990
Hash: 1768, Sign: 1100892, AesGcm: 10857
Hash: 15430, Sign: 2116762, AesGcm: 11360
Hash: 1966, Sign: 1133379, AesGcm: 10926
Hash: 1882, Sign: 1090039, AesGcm: 10933
Hash: 1890, Sign: 1103811, AesGcm: 10870
Hash: 1646, Sign: 1089961, AesGcm: 10847
Hash: 1736, Sign: 1127195, AesGcm: 10951
Hash: 1881, Sign: 1095528, AesGcm: 11153
Hash: 1701, Sign: 1085083, AesGcm: 10010
Hash: 1723, Sign: 1085136, AesGcm: 9987
Hash: 1641, Sign: 1097933, AesGcm: 10888
Hash: 1794, Sign: 1114822, AesGcm: 11040
Hash: 12063, Sign: 1807292, AesGcm: 11607
Hash: 1961, Sign: 1100911, AesGcm: 11156
Hash: 1958, Sign: 1122249, AesGcm: 10955
Hash: 1758, Sign: 1085492, AesGcm: 11115
Hash: 2813, Sign: 2513170, AesGcm: 99296
Hash: 12097, Sign: 1187359, AesGcm: 29519
